,Linear,Geometric,Tree-Based,NeuralNetwork-Based
ST97CV,0.0,0.03866933108195042,0.015451425684848422,0.13768381067608862
BCDRYMTH,0.0,0.05375567378395879,0.012848878786278784,0.1268969723276832
ST25SA,0.0,0.039269780923439704,0.015454114325963959,0.1364706175423503
ST73SA,0.0,0.04130873950067199,0.013206390822846603,0.13592103065924824
CATANIMSC,0.0,0.037059311855646385,0.019472194911110918,0.1339501450641234
EcogPtOrgan,0.0,0.03332375460947672,0.020682735919146447,0.13573363342493877
ST91TS,0.02423604335540099,0.027482162604865714,0.057702388444090584,0.08929738425923103
ST24CV,0.0,0.03035294068081159,0.015653361057058494,0.1402569754762993
ST107CV,0.009884249204773217,0.03565986915786062,0.014070044413100955,0.12847770849493978
ST36TA,0.0,0.02788994170338386,0.011883720932103067,0.1435578618248053
ST44CV,0.0,0.03399748790505917,0.016291728862307026,0.13396996368872105
ST60TA,0.000861293772958637,0.05019832872998739,0.02839594952380609,0.1086268879830301
RAVLT_forgetting,0.0,0.04115189965616197,0.03538568121195187,0.1110169790150468
ST125SV,0.0,0.02583353877113326,0.0247928316095735,0.13210710020392316
CLOCKNUM,0.0,0.0521351703856312,0.011233239044592674,0.12024446664968863
ST58TS,0.0,0.036815274964268126,0.015849484287285165,0.129441506816832
ST51CV,0.0,0.034262339375919736,0.011608391192196678,0.13447323797130287
ST90SA,0.0,0.03189681330752895,0.014088233960878896,0.13407131437645226
ST50TA,0.0,0.03462749488112151,0.020227876840904255,0.12685089315405962
ST80SV,0.0,0.032707992210456345,0.021064214004165575,0.1275674943114216
ST113TA,0.0004619821199777692,0.019319029805600307,0.028618942023114626,0.13169061454401773
ST44SA,0.0,0.027566445980343454,0.02178934931412637,0.1305008619886491
ST95SA,0.0,0.03342643232450216,0.013658531684998977,0.1313850931503697
ST56SA,0.0,0.03704413913306326,0.012142207795118196,0.1292938512646329
BCSWEATN,0.005323761117184889,0.037424001487433044,0.011044005234127222,0.12425601212623708
ST108TA,0.0,0.02880433772927993,0.036241843946786666,0.1149138040005056
ST102CV,0.0,0.038108089007321835,0.013442015561503495,0.1256811276697521
ST42SV,0.0,0.0283665874956006,0.01830983803730842,0.12951580867036075
ST35TA,0.00874629358333195,0.02368674410461967,0.027554283347935093,0.11865264031622788
ST43CV,0.017994737557801756,0.02152284490657574,0.018217678710424658,0.11951761680207076
CATANPERS,0.0,0.0183710221967498,0.011565752488890281,0.14086144741714052
ST11SV,0.0,0.026797027822890982,0.017974690983206344,0.12757948686714732
ST101SV,0.0,0.028204077692435225,0.011912385919532401,0.13026601290301612
BMI,0.0,0.025621475532078032,0.030721446094007548,0.11728084097571645
ST91SA,0.0,0.03400595712231281,0.011393646076469543,0.12467670906183934
ST90TA,0.016922552655458636,0.03429586126093387,0.019701599566888224,0.10294462228212602
ST2SV,0.0,0.024850763076057013,0.013001965586199104,0.1295706076205564
ST85TA,0.0,0.024892629750231023,0.012152374357532626,0.13012136872042557
ST110SA,0.0,0.030524229247971473,0.013200332049621311,0.1246212715486318
ST76SV,0.0,0.043381776612970095,0.016787267295395546,0.10955775278096477
ST39TA,0.0,0.03899680515684318,0.024308290977781352,0.10610566088005444
ST51SA,0.0,0.03144231696122595,0.011725894322678952,0.12228023366076803
ST73CV,0.0,0.036499608844649464,0.013213668472777527,0.1157911945958978
ST43TA,0.0,0.03519246746261379,0.01157691998450479,0.11792425241110689
ST48SA,0.0,0.027759410165157795,0.011360629085623098,0.12358656014369358
ST97TA,0.0,0.02909032778204374,0.011498962736720903,0.12184744489341374
ST106TA,0.0,0.0300261066562111,0.022802167793310967,0.11039101346454194
ST72SA,0.0,0.03198483539654249,0.012199514538897503,0.11734793960490207
ST110CV,0.0,0.02437427646491352,0.011974589962788258,0.12338677167705055
ST104CV,0.0024135671313501622,0.03282907508372222,0.012295571153756976,0.11418911286169921
ST16SV,0.0,0.01889646117171639,0.011043598308767893,0.12830010730626804
ST108SA,0.0,0.020553263160517962,0.012782966595048536,0.12440998776638332
ST23TA,0.0,0.02265209832070383,0.013183618642516862,0.12202370545736242
ST74SA,0.0,0.023916866847234423,0.011567379352678845,0.12220350100687882
BNTPHON,0.0,0.02031251416719064,0.017791550642563835,0.1199841232906274
ST31TS,0.0,0.026380510230840128,0.013746988675571668,0.1175533627860604
BCNAUSEA,0.016605752505968806,0.02717573791870336,0.009969479669225328,0.10587755428738134
ST40TS,0.0,0.021536078468958213,0.022687259531469148,0.11314380530396395
ST107TA,0.0,0.03259673220034763,0.022507514870080077,0.10299595823341572
ST98SA,0.0,0.022624710648246366,0.01434556990569345,0.11740767012955239
BCBREATH,0.000597440083364442,0.04952023990811571,0.010707199442136843,0.09591991134322254
ST74TA,0.0,0.02930103084265425,0.011382219797718937,0.11287637529575169
ST39CV,0.0,0.016245060746730752,0.020925729375952495,0.11562268382588424
ST54SA,0.0,0.01794342874691747,0.0111817518625356,0.12186786553934692
ST39TS,0.0,0.020901374858841044,0.017105301843836993,0.11452642034699784
ST93CV,0.0,0.02410291501840319,0.01238383118167929,0.11559304652653751
ST34TS,0.0,0.02170028568012388,0.01345506182255537,0.11644948259124589
ST91CV,0.0,0.027253351773603277,0.011793173544487487,0.11280353341061994
ST34CV,0.0,0.0256947434236832,0.014576526799250136,0.11152674367678533
ST32SA,0.0,0.028779404541241258,0.012478256544182888,0.11046294418288613
TRABERRCOM,0.0,0.017378155213463847,0.021480188531674375,0.11253671429697898
ST13TS,0.0,0.026151258599987105,0.01648412645315107,0.10727805242213478
ST106SA,0.0,0.030296634800442028,0.01602249275287203,0.10400772507908893
COPYSCOR,0.0,0.016598256225393456,0.03975668221996879,0.09527339461483066
ST113TS,0.0,0.024994344448041814,0.01954615137422029,0.10554160393305105
